"Date.first.break","Host.plant","observed_on","Latitude","Longitude","agdd32","agdd50"
"3/7/2017","Quercus geminata","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus geminata","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/8/2017","Quercus geminata","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/9/2017","Quercus geminata","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus geminata","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/12/2017","Quercus geminata","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/12/2017","Quercus geminata","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/12/2017","Quercus geminata","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/13/2017","Quercus geminata","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/13/2017","Quercus geminata","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/13/2017","Quercus geminata","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/14/2017","Quercus geminata","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus geminata","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus geminata","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus geminata","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/15/2017","Quercus geminata","2017-03-15",29.88616,-97.94669,2073.01464844,803.213439941
"3/15/2017","Quercus geminata","2017-03-15",29.88616,-97.94669,2073.01464844,803.213439941
"3/15/2017","Quercus geminata","2017-03-15",29.88616,-97.94669,2073.01464844,803.213439941
"3/16/2017","Quercus geminata","2017-03-16",29.88616,-97.94669,2100.82470703,813.0234375
"3/16/2017","Quercus geminata","2017-03-16",29.88616,-97.94669,2100.82470703,813.0234375
"3/17/2017","Quercus geminata","2017-03-17",29.88616,-97.94669,2138.09375,832.292419434
"3/17/2017","Quercus geminata","2017-03-17",29.88616,-97.94669,2138.09375,832.292419434
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/18/2017","Quercus geminata","2017-03-18",29.88616,-97.94669,2177.48681641,853.685424805
"3/20/2017","Quercus geminata","2017-03-20",29.88616,-97.94669,2260.35864258,900.557434082
"3/20/2017","Quercus geminata","2017-03-20",29.88616,-97.94669,2260.35864258,900.557434082
"3/20/2017","Quercus geminata","2017-03-20",29.88616,-97.94669,2260.35864258,900.557434082
"3/20/2017","Quercus geminata","2017-03-20",29.88616,-97.94669,2260.35864258,900.557434082
"3/20/2017","Quercus geminata","2017-03-20",29.88616,-97.94669,2260.35864258,900.557434082
"3/21/2017","Quercus geminata","2017-03-21",29.88616,-97.94669,2300.68774414,922.886474609
"3/21/2017","Quercus geminata","2017-03-21",29.88616,-97.94669,2300.68774414,922.886474609
"3/21/2017","Quercus geminata","2017-03-21",29.88616,-97.94669,2300.68774414,922.886474609
"3/21/2017","Quercus geminata","2017-03-21",29.88616,-97.94669,2300.68774414,922.886474609
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus geminata","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/23/2017","Quercus geminata","2017-03-23",29.88616,-97.94669,2384.30664062,970.505432129
"3/23/2017","Quercus geminata","2017-03-23",29.88616,-97.94669,2384.30664062,970.505432129
"3/23/2017","Quercus geminata","2017-03-23",29.88616,-97.94669,2384.30664062,970.505432129
"3/24/2017","Quercus geminata","2017-03-24",29.88616,-97.94669,2427.00268555,995.201416016
"3/24/2017","Quercus geminata","2017-03-24",29.88616,-97.94669,2427.00268555,995.201416016
"3/26/2017","Quercus geminata","2017-03-26",29.88616,-97.94669,2502.35961914,1034.55834961
"3/26/2017","Quercus geminata","2017-03-26",29.88616,-97.94669,2502.35961914,1034.55834961
"3/26/2017","Quercus geminata","2017-03-26",29.88616,-97.94669,2502.35961914,1034.55834961
"3/27/2017","Quercus geminata","2017-03-27",29.88616,-97.94669,2545.00170898,1059.20031738
"4/16/2017","Quercus geminata","2017-04-16",29.88616,-97.94669,3291.4519043,1445.65112305
"4/16/2017","Quercus geminata","2017-04-16",29.88616,-97.94669,3291.4519043,1445.65112305
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/4/2017","Quercus virginiana","2017-03-04",29.88616,-97.94669,1735.69458008,663.893554688
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/5/2017","Quercus virginiana","2017-03-05",29.88616,-97.94669,1760.21057129,670.409545898
"3/6/2017","Quercus virginiana","2017-03-06",29.88616,-97.94669,1793.70861816,685.907531738
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/7/2017","Quercus virginiana","2017-03-07",29.88616,-97.94669,1834.98266602,709.181518555
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/8/2017","Quercus virginiana","2017-03-08",29.88616,-97.94669,1868.27368164,724.47253418
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/9/2017","Quercus virginiana","2017-03-09",29.88616,-97.94669,1902.53662109,740.735534668
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/11/2017","Quercus virginiana","2017-03-11",29.88616,-97.94669,1980.4855957,782.684509277
"3/12/2017","Quercus virginiana","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/12/2017","Quercus virginiana","2017-03-12",29.88616,-97.94669,2006.96362305,791.162475586
"3/13/2017","Quercus virginiana","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/13/2017","Quercus virginiana","2017-03-13",29.88616,-97.94669,2025.10766602,791.30645752
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/14/2017","Quercus virginiana","2017-03-14",29.88616,-97.94669,2048.6965332,796.895446777
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/22/2017","Quercus virginiana","2017-03-22",29.88616,-97.94669,2342.1237793,946.32244873
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
"3/2/2017","Quercus virginiana","2017-03-02",29.88616,-97.94669,1690.96459961,655.163574219
