Family,Record,Type,Genus-Family
,1,,
,2,,
,3,,
,4,,
Eriophyidae,5,Mite,"Aceria,Aculus,Aculops,Cecidophyes,Eriophyes,Vasates,Rhyncaphytoptus"
Rhytismataceae,6,Fungus,Rhytisma
Cecidomyiidae,7,Midge,"Acericecis,Dasineura,Contarinia,Caryomyia"
Tortricidae,8,Moth,Proteoteras
Cerambycidae,9,Beetle,Xylotrechus
Sesiidae,10,Moth,Synanthedon
Diaspididae,11,Scale,Cryptophyllaspis
Cynipidae,12,Wasp,"Callirhytis,Neuroterus,Disholcaspis,Andricus,Zopheroteras,Dryocosmus"
Aceraceae,13,Plant,Acer
Juglandaceae,14,Plant,"Carya,Juglans"
Anacardiaceae,15,Plant,"Toxicodendron,Rhus"
Asteraceae,16,Plant,"Baccharis,Cirsium,Eupatorium,Lactuca,Achillea,Tanacetum,Symphyotrichum,Sonchus,Solidago,Silphium"
Fagaceae,17,Plant,"Quercus,Castanea,Fagus"
Sapindaceae,18,Plant,Aesculus
Solanaceae,19,Plant,Lycium
Ericaceae,20,Plant,"Vaccinium,Gaylussacia,Rhododendron"
Pinaceae,21,Plant,"Abies,Tsuga,Pinus"
Buxaceae,22,Plant,Buxus
Rosaceae,23,Plant,"Prunus,Cotoneaster,Sorbus,Pyrus,Malus,Amelanchier,Mespilus,Aronia,Cydonia,Physocarpus,Crataegus,Adenostoma,Spiraea,Rubus,Rosa,Potentilla"
Betulaceae,24,Plant,"Alnus,Betula,Carpinus,Corylus,Ostrya"
Rhamnaceae,25,Plant,"Ceanothus,Frangula,Rhamnus"
Lamiaceae,26,Plant,"Glechoma,Salvia"
Urticaceae,27,Plant,"Laportea,Urtica"
Malvaceae,28,Plant,"Malva,Malvaviscus,Tilia"
Fabaceae,29,Plant,"Mimosa,Acacia"
Cannabaceae,30,Plant,Celtis
Ranunculaceae,31,Plant,Clematis
Euphorbiaceae,32,Plant,Acalypha
Scrophulariaceae,33,Plant,Agalinis
Salicaceae,34,Plant,"Salix,Populus"
Asphodelaceae,35,Plant,"Aloe,Haworthia"
Meliaceae,36,Plant,Sandoricum